EntryID,LemmaID,Code,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,RepeatedMovement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0
decorate_2,decorate_2,K_02_030,imrp,FullyClosed,0.0,,0.0,Closed,1.0,SymmetricalOrAlternating,Circular,1,Neutral,Neutral,Neutral,1,s,0
stethoscope_4,stethoscope_4,K_02_031,i,Curved,0.0,,,Closed,0.0,SymmetricalOrAlternating,Straight,0,Head,Other,,1,curved_1,0
relax_2,relax_2,K_02_032,im,FullyOpen,0.0,1.0,0.0,Closed,0.0,AsymmetricalDifferentHandshape,Straight,0,Hand,PalmBack,PalmBack,1,B,0
slip_2,slip_2,K_02_033,im,Stacked,0.0,,0.0,Open,1.0,AsymmetricalDifferentHandshape,BackAndForth,0,Hand,Palm,HandAway,1,B,1
feed_2,feed_2,K_02_035,imrp,Stacked,1.0,,1.0,Open,1.0,OneHanded,Z-shaped,1,Neutral,Neutral,Neutral,0,,0
file_4,file_4,K_02_036,imrp,Curved,0.0,0.0,0.0,Open,0.0,OneHanded,Z-shaped,0,Neutral,Neutral,Neutral,0,,0
splash-ca,splash-ca,K_02_037,imrp,FullyOpen,0.0,1.0,0.0,Open,0.0,SymmetricalOrAlternating,Curved,0,Neutral,Neutral,Neutral,0,5,1
clock_2,clock_2,K_02_038,i,Curved,0.0,,,Open,0.0,SymmetricalOrAlternating,Curved,0,Neutral,Neutral,Neutral,0,curved_l,0
bra_3,bra_3,K_02_039,imrp,Curved,0.0,0.0,0.0,Open,0.0,OneHanded,Straight,0,Body,TorsoMid,TorsoMid,1,,0
cry_3,cry_3,K_02_040,imrp,FullyOpen,0.0,1.0,0.0,Closed,0.0,SymmetricalOrAlternating,Curved,1,Head,Eye,HeadAway,1,4,0
chew_3,chew_3,K_02_041,imrp,Curved,0.0,1.0,0.0,Open,0.0,AsymmetricalDifferentHandshape,Other,0,Hand,PalmBack,FingerBack,1,Lax,1
shave_4,shave_4,K_02_043,imrp,FullyClosed,0.0,,0.0,Closed,1.0,OneHanded,Straight,0,Body,Clavicle,TorsoBottom,1,,0
hoodie_1,hoodie_1,K_02_044,i,Bent,0.0,,,Open,0.0,SymmetricalOrAlternating,Curved,0,Head,HeadAway,HeadAway,0,bent_l,0
bite,bite,K_02_045,im,Curved,0.0,0.0,0.0,Open,1.0,OneHanded,Straight,0,Neutral,Neutral,Neutral,0,,0
cat_2,cat_2,K_02_047,i,Flat,1.0,,,Open,1.0,SymmetricalOrAlternating,Straight,1,Head,CheekNose,HeadAway,1,g,0
yawn_2,yawn_2,K_02_048,p,FullyOpen,0.0,,,Open,0.0,DominanceViolation,Circular,0,Hand,FingerBack,HandAway,1,DominanceConditionViolation,0
pillow_3,pillow_3,K_02_049,imrp,FullyOpen,0.0,0.0,0.0,Open,0.0,SymmetricalOrAlternating,Straight,1,Head,Other,,1,open_b,0
fork_2,fork_2,K_02_050,imrp,Flat,0.0,1.0,0.0,Closed,0.0,AsymmetricalDifferentHandshape,,0,Hand,Palm,,1,B,1
dip_3,dip_3,K_02_052,i,Curved,0.0,,,Open,1.0,AsymmetricalDifferentHandshape,Curved,0,Hand,HandAway,HandAway,0,B,1
hair_2,hair_2,K_02_053,imrp,Curved,0.0,1.0,0.0,Open,0.0,OneHanded,Other,0,Head,HeadTop,HeadAway,1,,0
